GroupID,Character,Radical,Phonetic,Dazidian,Shuowen,Shuowen_clean,Dazidian_clean,Combined
83.0,侍,人部,寺,,承也。,承也,,承也
83.0,詩,言部,寺,,志也。,志也,,志也
84.0,佶,人部,吉,,正也。,正也,,正也
84.0,詰,言部,吉,,問也。,問也,,問也
85.0,侚,人部,旬,,疾也。,疾也,,疾也
85.0,詢,言部,旬,,謀也。,謀也,,謀也
86.0,佸,人部,舌,,會也。,會也,,會也
86.0,話,言部,舌,,會合善言也。,會合善言也,,會合善言也
87.0,佺,人部,全,,偓佺也。,偓佺也,,偓佺也
87.0,詮,言部,全,,具也。,具也,,具也
88.0,侅,人部,亥,,奇侅，非常也。,奇侅，非常也,,奇侅，非常也
88.0,該,言部,亥,,軍中約也。,軍中約也,,軍中約也
89.0,侈,人部,多,,掩脅也。,掩脅也,,掩脅也
89.0,誃,言部,多,,離别也。,離别也,,離别也
90.0,侗,人部,同,,大皃。,大皃,,大皃
90.0,詷,言部,同,,共也。,共也,,共也
91.0,佻,人部,兆,,愉也。,愉也,,愉也
91.0,誂,言部,兆,,相呼誘也。,相呼誘也,,相呼誘也
92.0,儔,人部,壽,,翳也。,翳也,,翳也
92.0,譸,言部,壽,,詶也。,詶也,,詶也
93.0,侮,人部,每,,㑥也。,㑥也,,㑥也
93.0,誨,言部,每,,曉教也。,曉教也,,曉教也
94.0,俁,人部,吳,,大也。,大也,,大也
94.0,誤,言部,吳,,謬也。,謬也,,謬也
95.0,俑,人部,甬,,痛也。,痛也,,痛也
95.0,誦,言部,甬,,諷也。,諷也,,諷也
96.0,俌,人部,甫,,輔也。,輔也,,輔也
96.0,誧,言部,甫,,大也。,大也,,大也
97.0,信,人部,言,,誠也。,誠也,,誠也
97.0,誩,言部,言,,竸言也。,竸言也,,竸言也
98.0,俄,人部,我,,頃也。,頃也,,頃也
98.0,誐,言部,我,,嘉善也。,嘉善也,,嘉善也
99.0,倪,人部,兒,,俾也。,俾也,,俾也
99.0,誽,言部,兒,,言相誽司也。,言相誽司也,,言相誽司也
100.0,倜,人部,周,,倜儻，不羈也。,倜儻，不羈也,,倜儻，不羈也
100.0,調,言部,周,,龢也。,龢也,,龢也
101.0,倅,人部,卒,,副也。,副也,,副也
101.0,誶,言部,卒,,讓也。,讓也,,讓也
