GroupID,Phonetic,Pair,Char_From,Char_To,Radical_From,Radical_To,Direction,Distance,Angle,dx,dy,Shift_Level
103.0,昔,借(人部) → 諎(言部),借,諎,人部,言部,人部 → 言部,0.13858266657837992,-72.59647581566631,0.0414500043,-0.13223862,微弱变动
67.0,公,伀(人部) → 訟(言部),伀,訟,人部,言部,人部 → 言部,0.1408715410151179,113.01356808210065,-0.0550736022,0.129659899,微弱变动
74.0,台,佁(人部) → 詒(言部),佁,詒,人部,言部,人部 → 言部,0.14354645358011034,82.38711349773523,0.019016936999999998,0.142281202,微弱变动
75.0,失,佚(人部) → 詄(言部),佚,詄,人部,言部,人部 → 言部,0.14510796666488743,108.19255726177892,-0.045304378000000006,0.137854399,微弱变动
121.0,翏,僇(人部) → 謬(言部),僇,謬,人部,言部,人部 → 言部,0.14795803724515205,39.696797772022535,0.11384412999999999,0.09450447000000001,微弱变动
115.0,旁,傍(人部) → 謗(言部),傍,謗,人部,言部,人部 → 言部,0.1553729237105774,5.198659944647408,0.1547338,0.014078229999999997,微弱变动
123.0,喜,僖(人部) → 譆(言部),僖,譆,人部,言部,人部 → 言部,0.15638536555653568,36.9663431326683,0.12495017,0.09404167999999999,微弱变动
80.0,先,侁(人部) → 詵(言部),侁,詵,人部,言部,人部 → 言部,0.15672740386712058,80.86738898063652,0.024875781,0.154740669,微弱变动
57.0,乃,仍(人部) → 䚮(言部),仍,䚮,人部,言部,人部 → 言部,0.1687628940556511,-48.86271298864833,0.1110232876,-0.12710131400000002,微弱变动
88.0,亥,侅(人部) → 該(言部),侅,該,人部,言部,人部 → 言部,0.1768853446213677,85.14944044654249,0.014956919999999999,0.176251853,微弱变动
87.0,全,佺(人部) → 詮(言部),佺,詮,人部,言部,人部 → 言部,0.17724327902943746,38.894745133513176,0.137948575,0.11128958,微弱变动
125.0,爲,僞(人部) → 譌(言部),僞,譌,人部,言部,人部 → 言部,0.17904090972686507,178.7780423561156,-0.179000193,0.0038181490000000016,微弱变动
126.0,堯,僥(人部) → 譊(言部),僥,譊,人部,言部,人部 → 言部,0.1832697136783255,120.55402675783853,-0.09316527,0.15782275,微弱变动
102.0,委,倭(人部) → 諉(言部),倭,諉,人部,言部,人部 → 言部,0.1874854599376406,172.0117137936702,-0.18566619499999998,0.026054974999999994,微弱变动
72.0,可,何(人部) → 訶(言部),何,訶,人部,言部,人部 → 言部,0.18930004207962667,-10.497724973349918,0.186131565,-0.034489802,微弱变动
104.0,青,倩(人部) → 請(言部),倩,請,人部,言部,人部 → 言部,0.1953539327138406,100.98461954268191,-0.03722380905,0.19177473,微弱变动
95.0,甬,俑(人部) → 誦(言部),俑,誦,人部,言部,人部 → 言部,0.1962524388384646,-123.51801893134862,-0.108370441,-0.16361805299999999,微弱变动
63.0,它,佗(人部) → 詑(言部),佗,詑,人部,言部,人部 → 言部,0.20594673958438436,-50.854600690479245,0.130012225,-0.15972126,微弱变动
138.0,黨,儻(人部) → 讜(言部),儻,讜,人部,言部,人部 → 言部,0.21101802545337328,92.09617630932446,-0.007718410000000002,0.21087682,微弱变动
77.0,召,佋(人部) → 詔(言部),佋,詔,人部,言部,人部 → 言部,0.23189728885721972,104.5477402836735,-0.058249492,0.224462356,微弱变动
120.0,堇,僅(人部) → 謹(言部),僅,謹,人部,言部,人部 → 言部,0.259106207017139,179.25463026435833,-0.259084282,0.0033706580000000055,微弱变动
117.0,參,傪(人部) → 謲(言部),傪,謲,人部,言部,人部 → 言部,0.2602180258342523,29.744579243559834,0.22593319699999997,0.129103104,微弱变动
111.0,思,偲(人部) → 諰(言部),偲,諰,人部,言部,人部 → 言部,0.2603555689167098,31.96601545735825,0.22087584,0.137836445,微弱变动
65.0,乞,仡(人部) → 訖(言部),仡,訖,人部,言部,人部 → 言部,0.2690624926457665,102.68170548339347,-0.05906855506,0.26249863,微弱变动
105.0,京,倞(人部) → 諒(言部),倞,諒,人部,言部,人部 → 言部,0.2737352392545838,31.535081668095923,0.233310042,0.14316915,微弱变动
66.0,區,傴(人部) → 謳(言部),傴,謳,人部,言部,人部 → 言部,0.27890076490748866,19.871680970053358,0.262293967,0.09480248699999999,微弱变动
118.0,區,傴(人部) → 謳(言部),傴,謳,人部,言部,人部 → 言部,0.27890076490748866,19.871680970053358,0.262293967,0.09480248699999999,微弱变动
70.0,韋,偉(人部) → 諱(言部),偉,諱,人部,言部,人部 → 言部,0.28048912440979773,37.00399482336814,0.223996805,0.168818187,微弱变动
110.0,韋,偉(人部) → 諱(言部),偉,諱,人部,言部,人部 → 言部,0.28048912440979773,37.00399482336814,0.223996805,0.168818187,微弱变动
90.0,同,侗(人部) → 詷(言部),侗,詷,人部,言部,人部 → 言部,0.28215079877895094,90.38315143176472,-0.001886800000000008,0.28214448999999997,微弱变动
134.0,疑,儗(人部) → 譺(言部),儗,譺,人部,言部,人部 → 言部,0.2836409282409873,-171.32011582087796,-0.2803923693,-0.0428053199,微弱变动
116.0,婁,僂(人部) → 謱(言部),僂,謱,人部,言部,人部 → 言部,0.2855735962641718,-151.18122961848917,-0.250204966,-0.137658105,微弱变动
73.0,且,伹(人部) → 詛(言部),伹,詛,人部,言部,人部 → 言部,0.28691929760019474,172.34356063997225,-0.2843613489,0.038227040000000004,微弱变动
114.0,黨,儻(人部) → 讜(言部),儻,讜,人部,言部,人部 → 言部,0.29241579387436323,104.23349414489964,-0.07189746,0.28343915,微弱变动
93.0,每,侮(人部) → 誨(言部),侮,誨,人部,言部,人部 → 言部,0.29350204774237654,10.747302537271453,0.2883537806,0.054731611,微弱变动
61.0,刃,仞(人部) → 訒(言部),仞,訒,人部,言部,人部 → 言部,0.2989379409949808,128.74224964093807,-0.187080736,0.23316237,微弱变动
137.0,毚,儳(人部) → 讒(言部),儳,讒,人部,言部,人部 → 言部,0.30572262713759774,178.98044222764625,-0.305674225,0.005439937000000006,微弱变动
92.0,壽,儔(人部) → 譸(言部),儔,譸,人部,言部,人部 → 言部,0.30639124938616613,-169.0810102799423,-0.300844338,-0.058036901999999994,微弱变动
133.0,壽,儔(人部) → 譸(言部),儔,譸,人部,言部,人部 → 言部,0.30639124938616613,-169.0810102799423,-0.300844338,-0.058036901999999994,微弱变动
59.0,干,仠(人部) → 訐(言部),仠,訐,人部,言部,人部 → 言部,0.3099052002653653,-50.30835289807389,0.19792270506,-0.23846978,微弱变动
119.0,敖,傲(人部) → 謷(言部),傲,謷,人部,言部,人部 → 言部,0.33628704093724937,7.2072082494384215,0.333630012,0.0421899158,微弱变动
58.0,工,仜(人部) → 訌(言部),仜,訌,人部,言部,人部 → 言部,0.3473210686205477,169.17106302626945,-0.341136145,0.065253776,微弱变动
56.0,九,仇(人部) → 訄(言部),仇,訄,人部,言部,人部 → 言部,0.3521724358961607,28.003218370275622,0.310940517,0.16535241,微弱变动
100.0,周,倜(人部) → 調(言部),倜,調,人部,言部,人部 → 言部,0.4626295644869749,155.34886155921748,-0.42046744999999996,0.19295916,微弱变动
44.0,面,愐(心部) → 偭(人部),愐,偭,心部,人部,心部 → 人部,0.02981215400077767,161.50568920399562,-0.02827251,0.009456728000000005,微弱变动
32.0,侖,惀(心部) → 倫(人部),惀,倫,心部,人部,心部 → 人部,0.030964109859239187,147.13154099450927,-0.0260073365,0.016804599000000003,微弱变动
34.0,寺,恃(心部) → 侍(人部),恃,侍,心部,人部,心部 → 人部,0.038540726431481695,86.46447555685339,0.0023767059999999993,0.038467374,微弱变动
50.0,支,忮(心部) → 伎(人部),忮,伎,心部,人部,心部 → 人部,0.04141546474322967,94.4886070523874,-0.0032412099999999944,0.04128844,微弱变动
39.0,舌,恬(心部) → 佸(人部),恬,佸,心部,人部,心部 → 人部,0.043195269499825,-97.16390460606013,-0.005386803999999995,-0.042858064,微弱变动
6.0,軍,惲(心部) → 㑮(人部),惲,㑮,心部,人部,心部 → 人部,0.04756964749893953,124.26474465133309,-0.026782549999999995,0.039313692,微弱变动
14.0,旬,恂(心部) → 侚(人部),恂,侚,心部,人部,心部 → 人部,0.05998678246716957,14.833406858781824,0.057987679999999986,0.015357181999999999,微弱变动
9.0,白,怕(心部) → 伯(人部),怕,伯,心部,人部,心部 → 人部,0.06931553758846747,-98.8381507480587,-0.010649903999999988,-0.0684925054,微弱变动
29.0,詹,憺(心部) → 儋(人部),憺,儋,心部,人部,心部 → 人部,0.0699305618147638,-147.5958163835658,-0.059041590000000005,-0.037474980000000005,微弱变动
4.0,需,懦(心部) → 儒(人部),懦,儒,心部,人部,心部 → 人部,0.07865973352080795,125.1917172217668,-0.04533272000000001,0.064282954,微弱变动
54.0,每,悔(心部) → 侮(人部),悔,侮,心部,人部,心部 → 人部,0.08521291836468939,-94.20434147743734,-0.006247279999999994,-0.084983604,微弱变动
47.0,且,怚(心部) → 伹(人部),怚,伹,心部,人部,心部 → 人部,0.08928737894719863,-68.46929171720716,0.0327684539,-0.0830569953,微弱变动
40.0,合,恰(心部) → 佮(人部),恰,佮,心部,人部,心部 → 人部,0.10691484059682088,159.25799121250077,-0.099985114,0.037865025,微弱变动
38.0,白,怕(心部) → 伯(人部),怕,伯,心部,人部,心部 → 人部,0.10807961900510515,-92.59673256471893,-0.004896657299999999,-0.107968638,微弱变动
27.0,庸,慵(心部) → 傭(人部),慵,傭,心部,人部,心部 → 人部,0.11178853851131688,80.03415909928987,0.019346238,0.11010177300000001,微弱变动
18.0,難,戁(心部) → 儺(人部),戁,儺,心部,人部,心部 → 人部,0.11324634206954508,-66.28464923590896,0.045546896,-0.10368324,微弱变动
8.0,亢,忼(心部) → 伉(人部),忼,伉,心部,人部,心部 → 人部,0.11709543520401496,-177.55500354853942,-0.11698883568,-0.004995325000000002,微弱变动
37.0,夾,㤲(心部) → 俠(人部),㤲,俠,心部,人部,心部 → 人部,0.11988074241198128,-139.83219733255203,-0.09160790299999999,-0.07732648,微弱变动
1.0,童,憧(心部) → 僮(人部),憧,僮,心部,人部,心部 → 人部,0.13147366057833412,-114.55774794716676,-0.054641790999999995,-0.119580927,微弱变动
7.0,刍,急(心部) → 伋(人部),急,伋,心部,人部,心部 → 人部,0.14691828315716038,96.47370042941543,-0.016564615999999997,0.14598149,微弱变动
30.0,共,㤨(心部) → 供(人部),㤨,供,心部,人部,心部 → 人部,0.15015217861286054,148.96964841596267,-0.12866455300000001,0.077402258,微弱变动
53.0,非,悱(心部) → 俳(人部),悱,俳,心部,人部,心部 → 人部,0.15084204600916162,153.0521785217689,-0.13446355599999998,0.06835843,微弱变动
17.0,尞,憭(心部) → 僚(人部),憭,僚,心部,人部,心部 → 人部,0.16063846265380569,132.24182577819283,-0.10799100499999999,0.11892291,微弱变动
33.0,甫,悑(心部) → 俌(人部),悑,俌,心部,人部,心部 → 人部,0.1613015058955821,-178.16346707221246,-0.16121865000000002,-0.0051694000000000045,微弱变动
42.0,昔,惜(心部) → 借(人部),惜,借,心部,人部,心部 → 人部,0.17509479857357071,-142.25795846597237,-0.13846052,-0.10717683,微弱变动
48.0,朁,憯(心部) → 僭(人部),憯,僭,心部,人部,心部 → 人部,0.17509479857357071,-142.25795846597237,-0.13846052,-0.10717683,微弱变动
11.0,青,情(心部) → 倩(人部),情,倩,心部,人部,心部 → 人部,0.1780020340929656,-128.44301641350702,-0.11067026999999999,-0.13941598,微弱变动
23.0,里,悝(心部) → 俚(人部),悝,俚,心部,人部,心部 → 人部,0.18152042591961187,91.6711505407133,-0.00529367,0.18144322000000002,微弱变动
49.0,長,悵(心部) → 倀(人部),悵,倀,心部,人部,心部 → 人部,0.18877607860996054,-114.57064969337061,-0.07849592000000001,-0.17168226,微弱变动
52.0,票,慓(心部) → 僄(人部),慓,僄,心部,人部,心部 → 人部,0.19016713820147604,-125.25288179833524,-0.10976186,-0.155292867,微弱变动
46.0,介,忦(心部) → 价(人部),忦,价,心部,人部,心部 → 人部,0.1973675743303405,-141.94560348808744,-0.155412338,-0.12165921500000001,微弱变动
13.0,炎,惔(心部) → 倓(人部),惔,倓,心部,人部,心部 → 人部,0.1982415802257829,-177.45117189999124,-0.19804545703,-0.008815956,微弱变动
36.0,血,恤(心部) → 侐(人部),恤,侐,心部,人部,心部 → 人部,0.19990102328896767,-149.5725132981881,-0.172368817,-0.10123937000000001,微弱变动
12.0,睘,懁(心部) → 儇(人部),懁,儇,心部,人部,心部 → 人部,0.20916892954612187,-111.86254101365694,-0.077890556,-0.194125481,微弱变动
45.0,官,悹(心部) → 倌(人部),悹,倌,心部,人部,心部 → 人部,0.21418284772704058,-117.60675154821747,-0.09925243,-0.189797912,微弱变动
28.0,弗,怫(心部) → 佛(人部),怫,佛,心部,人部,心部 → 人部,0.21970369251719757,-178.12906609123706,-0.21958656999999998,-0.007172919999999999,微弱变动
